"id","name","overview","website_url","total_funded_amount","established_at","last_funded_at","funded_from_vc","is_samurai_member","source_id","stage_id","country_id"
"1","Lisa Technologies株式会社","「飲食業界にデータ経営の革命を起こす」というビジョンを掲げ、飲食店のデータ分析プラットフォーム「ストアーズスコア」を展開。
ストアーズスコアは、アンケートによりメニューごとの評価・接客サービスに関する評価などフィードバックをデータ解析し、新たなメニュー開発・既存メニューの改善・メニュー構成やサービスの最適化などによりリピート率向上につなげるクラウドサービス。","https://www.lisatech.jp/","33,671","2017/08/29","2020/03/19","TRUE","FALSE","1","","1"
"2","株式会社Progate","手間のかかる環境構築が不要なブラウザ上で実際にプロダクトを作りながらコードを書く練習をすることで、初心者でも実践的なプログラミング学習が可能なオンラインプログラミング学習サービス「Progate」を展開。
Progateの法人向けサービスとして、企業のプログラミング研修を支援するe-learningツール「Progate for Business」を提供。
「Be the gate, be the path」をミッションに掲げ、プログラミングというエキサイティングな世界へのゲート（入口）となり、さらにそこから自走するエンジニアになるまでのパス（道のり）となることを目指して、プログラミング学習サービスを展開。","https://prog-8.com/","612,099","2014/07/31","2020/02/17","TRUE","FALSE","1","","1"
"3","ビーテクノロジー株式会社","企業業務システムで必要となるデータベースやユーザー管理・ワークフローなどのバックエンド機能をクラウドで提供する「Hexabase」を展開。
「modernize enterprise systems ”法人システムのあるべきす姿を共創する”」をビジョンに掲げる。","https://www.b-eee.com","98,120","2016/01/04","2019/07/12","TRUE","FALSE","1","1","1"
"4","株式会社STANDING OVATION","オンライン・クローゼットの手持ち服からコーディネートを自動で提案してくれるAIアプリ「XZ（クローゼット）」を提供。","http://www.s-ovation.jp/","469,088","2014/01/10","2020/03/18","TRUE","FALSE","1","2","1"
"5","株式会社Marine X","個人向け自動運航プレジャーボートの開発
自動航行技術の開発とそれを活用したビジネスの開発
テクノロジーの力で、あらゆる水上モビリティの体験を「より安全に、快適に、楽しく」することで、社会課題の解決や、新たな経済価値を創出することを目指している。","https://marine-x.jp/","9,500","2019/05/14","2019/05/14","FALSE","FALSE","1","","1"
"6","株式会社プレイド","サイトへの訪問者をリアルタイムに可視化しユーザー解析や自動接客が可能なウェブ接客プラットフォーム「KARTE（カルテ）」の企画・開発
CX（顧客体験）にフォーカスを当てたビジネスメディア「XD（クロスディー）」の展開
最先端のCX（顧客体験）を学び、体験できるカンファレンス「CX Dive」の提供
EC特化型メディア「Shopping Tribe」の企画・運営","https://plaid.co.jp/","3,570,687","2011/10/01","2019/11/07","TRUE","FALSE","1","4","1"
"7","株式会社FullDepth","温度･湿度、人感、電力等のセンサにより得られる環境･物理的情報をBluetoothやWi-Fi等に代表される無線通信を介して収集するシステム（センサネットワーク）ならびにこれらのデータを記憶･解析･表示するためのクラウドサーバを用いた、センサネットワークシステムの開発･製造･コンサルティングのサービス提供および販売

ROV: Remotely Operated Vehicle (水中ドローン、水中遠隔ロボット) の開発
遠隔操作で水中を自由に動き回り、浅海から深海における海中の海洋 構造物、海洋生物などの様子をフルハイビジョンで撮影することが可能。

ASV: Autonomous Surface Vehicle (自動・遠隔制御船型ロボット) の開発
ROV や AUV の基地局(母船)となり、各種データの回収や充電を行う。予め設定された航行プログラムによる自動航行や衛星ネットワークによる遠隔航行が可能。

AUV: Autonomous Underwater Vehicle (自立潜行・遠隔制御型深海ロボット) の開発
カメラやセンサーなどを搭載した自立潜行するロボット。ASV と連動することが可能。","https://fulldepth.co.jp/","563,800","2014/06/04","2019/04/12","TRUE","FALSE","1","3","1"
"8","ピクシーダストテクノロジーズ株式会社","市販の電動車いすに取り付けて自動運転を可能にする装置「xMove（クロスムーブ）」を開発。
音・光・電磁波などの波動制御技術「HAGEN 波源」をコアに事業を展開。
プロダクトディプロイ型事業として、独自の波動制御技術をコアに企業と新製品や新サービスを共同開発。
空間開発型事業として、顧客企業が抱える課題の解決に向けて、空間を把握・制御するソリューションを開発。","http://pixiedusttech.com/","4,607,947","2017/05/01","2019/05/31","TRUE","FALSE","1","3","1"
"9","株式会社TransRecog","PDFツール『AxelaNote』の開発・販売・導入支援
AI（人工知能を用いた）ソリューション開発","https://www.transrecog.com/","15,000","2017/11/06","2019/11/29","TRUE","FALSE","1","1","1"
"10","メロディ・インターナショナル株式会社","周産期遠隔医療プラットフォーム「Melody i（メロディ・アイ)」を提供。
IoT型胎児モニター「分娩監視装置iCTG」を提供。","http://melody.international/","191,132","2015/07/27","2019/05/31","TRUE","FALSE","1","","1"
